A darkest minds
An Ember in the ashes series
Daevabad Trilogy
Daughter of Smoke and Bone
Divergent
Ember quartet
Ranger's Apprentice
Red Queen
Red Rising
Sands of Arawiya
Skyward
The Darkest Minds
The Folk of the Air
The Frostblood saga
The Gender Game
The Inheritance Cycle
The Kingkiller Chronicles
The Six of Crows
SpellSlinger series
The Stormlight Archive
Under the Northen Sky series
Seven Deaths of an Empire
